baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
LOC107986794	0.0585831529299488	0.531900647728818	6.11224211396659	0.08702218233689	0.930653880036527	NA
LOC107986797	0.863751993618406	-0.8809652974798	2.48107792145024	-0.355073611297487	0.722534445377147	NA
LOC101060341	0.0336229038683352	0.161332046731543	6.12047839865827	0.0263593850387431	0.978970688927959	NA
LOC107986800	0.107353505433373	-1.16762826315905	6.1099749796299	-0.191101971293143	0.848445703232722	NA
LOC100287294	0	NA	NA	NA	NA	NA
LOC100996414	0	NA	NA	NA	NA	NA
LOC100996365	0	NA	NA	NA	NA	NA
LOC107986804	0	NA	NA	NA	NA	NA
LOC107986803	0	NA	NA	NA	NA	NA
LOC107986805	0	NA	NA	NA	NA	NA
LOC441239	2.74249848207651	-1.16994636832301	1.46982000086234	-0.795979349605123	0.426044038244491	NA
ERV3-1-ZNF117	1050.51060919406	0.147596229311115	0.438263996830253	0.336774707433432	0.736286740975546	0.864248082685187
LOC107986705	0.107741636567967	-2.22829258802255	6.10537050093205	-0.364972541417819	0.715131903274576	NA
LOC101929322	1.04825253938233	0.279841895609199	2.15256657817603	0.130003828195791	0.896563397934745	NA
SPDYE11	0	NA	NA	NA	NA	NA
LOC107986810	0.212436878228607	-3.53684313284106	6.04140714968983	-0.585433665569559	0.558256157605115	NA
LOC107986711	0.0736951250808494	-1.69814319753138	6.1134177741902	-0.27777313120995	0.781186517984809	NA
SPDYE17	0	NA	NA	NA	NA	NA
SPDYE18	0.237415248886827	-1.78389030627438	4.95202116521726	-0.360234790352742	0.718671559780022	NA
LOC102723899	5.02584679828011	-0.860213067365306	1.0740438665156	-0.800910553268182	0.423183430161037	NA
LOC105375396	0.0344858513695341	-1.28126165693672	6.12047839865827	-0.209340115834344	0.834182737556188	NA
C7orf76	0	NA	NA	NA	NA	NA
LOC107986827	1.12463659267354	-2.63025952736461	2.22472923696235	-1.18228298692023	0.237093433845959	NA
ZASP	12.2868867751652	-0.558729856032957	1.51803315323152	-0.368061695387587	0.7128272317485	NA
LOC100289561	11.3538262213943	0.793680747610273	0.825065900121611	0.961960429455742	0.336069481480247	NA
LOC107983993	7.7603268330512	-0.837820466979751	1.04980168275747	-0.798074989534289	0.424826974259921	NA
LOC102724229	0.0292915764649744	0.155478054416205	6.12008756516373	0.0254045473632117	0.979732284008493	NA
C7orf66	0	NA	NA	NA	NA	NA
LOC100130880	0	NA	NA	NA	NA	NA
LOC100507507	127.196166312813	0.0273239775664245	0.257588737406064	0.106075979258949	0.915522069375659	0.962715727263437
LOC101928422	0	NA	NA	NA	NA	NA
LOC107986860	0	NA	NA	NA	NA	NA
LOC107984014	0	NA	NA	NA	NA	NA
LOC389602	0	NA	NA	NA	NA	NA
LOC105379752	4.04469705251149	0.19978200059877	1.70464284288601	0.11719874426043	0.906702561997554	NA
LOC101927506	0.740432034050184	-0.259986088246288	2.89353962498908	-0.0898505366925014	0.928405988089654	NA
LOC105377774	0.59950138468538	-0.613084274228679	2.58693535138228	-0.236992499213824	0.812662609283484	NA
LOC105377777	0	NA	NA	NA	NA	NA
LOC105377792	0	NA	NA	NA	NA	NA
LOC107986908	0	NA	NA	NA	NA	NA
LOC101928095	0	NA	NA	NA	NA	NA
LOC107986910	0.0658621343483106	0.783456525225814	6.11335103638331	0.128155003788121	0.89802630813745	NA
LOC101929400	0	NA	NA	NA	NA	NA
LOC107986876	0.385475694437678	0.255159015713513	3.77004476722383	0.0676806328486667	0.946039866702507	NA
LOC107984124	0.22801254151622	-0.866068337088678	4.32442673498686	-0.20027355998004	0.841266639713979	NA
LOC105379356	0.445022641654404	0.286514493164487	4.78153134895635	0.059921073868317	0.952218495531337	NA
POTEA	0	NA	NA	NA	NA	NA
LOC105375816	0	NA	NA	NA	NA	NA
LOC105375817	0	NA	NA	NA	NA	NA
LOC107986877	0	NA	NA	NA	NA	NA
LOC100129098	0.368730400134212	-2.78097848485964	3.94337385395893	-0.705228210119537	0.480668228293333	NA
LOC107984125	0.347604532839023	-2.72243953011873	5.19024217174167	-0.524530347531966	0.599909717855049	NA
LOC105375938	0	NA	NA	NA	NA	NA
LOC105375907	0.839128949687404	-0.627480360033208	2.28046515384825	-0.275154548612306	0.783197504558258	NA
LOC101929601	0	NA	NA	NA	NA	NA
LOC101929627	0	NA	NA	NA	NA	NA
LOC100288562	0	NA	NA	NA	NA	NA
LOC107986879	0	NA	NA	NA	NA	NA
