baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
LOC105375809	0	NA	NA	NA	NA	NA
LOC107985939	0	NA	NA	NA	NA	NA
LOC105373989	17.2582333015812	-1.30439745537501	0.30718734353043	-3.7450879650204	0.000180330580693304	0.00241513528459935
LOC107985803	0	NA	NA	NA	NA	NA
LOC107985778	0	NA	NA	NA	NA	NA
C2orf27A	0.632057695102918	0.0415609152142359	0.137497368061631	0.351368392675141	0.725311991568555	NA
C2orf27B	0	NA	NA	NA	NA	NA
ZNF806	0.197272500721044	0.0298024917988186	0.104765301205029	0.119839827711558	0.904610031325537	NA
LOC107985946	0.120362029801058	0.00841736424037629	0.104765301205029	0.0685218940608537	0.945370192093752	NA
LOC100144595	0	NA	NA	NA	NA	NA
LOC107985956	0	NA	NA	NA	NA	NA
LOC105373750	0	NA	NA	NA	NA	NA
LOC107985805	0	NA	NA	NA	NA	NA
LOC105373759	0.202985364937449	-0.0557380184349506	0.104765301205029	-0.388670278707522	0.69752007118772	NA
LOC105373780	0.354297824239562	0.00941974191239479	0.105108908274321	-0.137331112149892	0.890769079467166	NA
LOC729254	0	NA	NA	NA	NA	NA
LOC107985971	5.74028411217956	-0.0470700877585334	0.295052602622271	-0.118295927121534	0.905833184427635	0.96777310366868
LOC100130451	0	NA	NA	NA	NA	NA
LOC105373926	0.740260008644589	-0.0930707252237827	0.138715979828379	-0.560157785937419	0.575371817994292	NA
LOC105373944	2.27170705266617	0.213885597402767	0.230153281673516	0.969971193282563	0.332060851188796	0.614997023854831
LOC100287387	0.850088257670147	-0.045042684782253	0.156362392696069	-0.325315135151222	0.744942577128843	NA
LOC401040	0	NA	NA	NA	NA	NA
LOC101927509	2.05882702970342	0.276717228132193	0.227923359684907	1.35645471008286	0.174954536082128	0.430117914200444
LOC107986004	0	NA	NA	NA	NA	NA
CHL1-AS2	0	NA	NA	NA	NA	NA
LOC107986062	0	NA	NA	NA	NA	NA
LOC401052	0	NA	NA	NA	NA	NA
FANCD2P2	0	NA	NA	NA	NA	NA
LOC105377641	0	NA	NA	NA	NA	NA
LOC339862	0	NA	NA	NA	NA	NA
LOC105377021	0	NA	NA	NA	NA	NA
LOC105377022	0.101492682468725	-0.0343528908765083	0.104765301205029	-0.303727986090861	0.761335134812768	NA
LOC101928592	0	NA	NA	NA	NA	NA
PRSS43	0	NA	NA	NA	NA	NA
LOC107986084	1.65471318611356	-0.256180462635994	0.198780629530205	-1.33544322716623	0.181731324849431	NA
LOC107986035	0.232939027581964	-0.012980002579644	0.104766712299002	-0.14533727853773	0.884444583162675	NA
LOC105377135	0.585632944799989	-0.113049597682041	0.136259583691913	-0.717331096586965	0.473169824019939	NA
LOC105377650	0.120362029801058	0.00841736424037629	0.104765301205029	0.0685218940608537	0.945370192093752	NA
LOC101930420	0	NA	NA	NA	NA	NA
LOC107986037	0	NA	NA	NA	NA	NA
LOC105374013	0.0759137040634452	0.00841736424037629	0.104765301205029	0.050748764183908	0.959525718483863	NA
LOC107986113	0	NA	NA	NA	NA	NA
LOC105374312	0.0941759112307822	-0.0343528908765083	0.104765301205029	-0.308622349181172	0.757608818062605	NA
LOC105374089	0	NA	NA	NA	NA	NA
LOC105374103	0	NA	NA	NA	NA	NA
TMEM183B	0.351956340956137	0.0191500248880132	0.10549420919877	0.125267408072279	0.900311853494805	NA
FAM188B2	0	NA	NA	NA	NA	NA
C3orf79	0	NA	NA	NA	NA	NA
LOC105374314	0	NA	NA	NA	NA	NA
LINC02054	0.264692757289511	0.0298024917988186	0.104765301205029	0.255885216916981	0.79803946988954	NA
LOC102724877	0	NA	NA	NA	NA	NA
LOC105374299	0	NA	NA	NA	NA	NA
LOC105374301	0	NA	NA	NA	NA	NA
LOC107986175	0.0759137040634452	0.00841736424037629	0.104765301205029	0.050748764183908	0.959525718483863	NA
FAM157A	0.367364937813407	-0.0131323196343139	0.10478439318247	-0.12753390183791	0.898517842459794	NA
LOC101059949	0	NA	NA	NA	NA	NA
LOC107986244	0	NA	NA	NA	NA	NA
LOC107986211	0	NA	NA	NA	NA	NA
LOC101928548	0	NA	NA	NA	NA	NA
LOC107986255	0	NA	NA	NA	NA	NA
LOC389199	0.120362029801058	0.00841736424037629	0.104765301205029	0.0685218940608537	0.945370192093752	NA
FAM86KP	0.101492682468725	-0.0343528908765083	0.104765301205029	-0.303727986090861	0.761335134812768	NA
LOC100133128	0	NA	NA	NA	NA	NA
LOC107986213	0	NA	NA	NA	NA	NA
LOC101928879	0.197272500721044	0.0298024917988186	0.104765301205029	0.119839827711558	0.904610031325537	NA
LOC100506514	0.947370673287495	-0.0680275193945211	0.157683069591898	-0.951048077616044	0.341579970527581	NA
LOC107986215	0.240724059602116	0.0298024917988186	0.104765301205029	0.148757880784823	0.881744687020942	NA
LOC105377310	0	NA	NA	NA	NA	NA
LOC107986216	0	NA	NA	NA	NA	NA
ZCCHC23	0	NA	NA	NA	NA	NA
LOC107986192	0.664488735862142	-0.132507664853001	0.126116182043178	-0.803883136676196	0.421464469954584	NA
LOC105377622	0	NA	NA	NA	NA	NA
ANP32C	0.688919320635399	0.0449973023501892	0.136796742172685	0.17513300206182	0.86097512709857	NA
LOC285500	0.929457345081045	-0.114386859775025	0.141497890546201	-0.388627485783722	0.697551731294514	NA
LOC107986217	0	NA	NA	NA	NA	NA
LOC101929895	0	NA	NA	NA	NA	NA
LOC105369214	0	NA	NA	NA	NA	NA
LOC105378979	0.0759137040634452	0.00841736424037629	0.104765301205029	0.050748764183908	0.959525718483863	NA
LOC107986351	0	NA	NA	NA	NA	NA
LOC107986354	0	NA	NA	NA	NA	NA
LOC101929599	0	NA	NA	NA	NA	NA
LOC107986352	0	NA	NA	NA	NA	NA
LOC107986353	0	NA	NA	NA	NA	NA
LOC105379045	0	NA	NA	NA	NA	NA
MTRNR2L2	0.264692757289511	0.0298024917988186	0.104765301205029	0.255885216916981	0.79803946988954	NA
LOC102724720	0.26426552652501	-0.0351374428417436	0.104996249532902	-0.20869482594012	0.834686479511448	NA
LOC101929747	3.92898456189777	-0.357422159870634	0.271659740817542	-1.40903602388914	0.158824516374477	0.406584798342636
LOC100652833	0	NA	NA	NA	NA	NA
LOC100505841	0.101492682468725	-0.0343528908765083	0.104765301205029	-0.303727986090861	0.761335134812768	NA
LOC105379198	0	NA	NA	NA	NA	NA
LOC107984115	0.687315413613862	-0.0408983788189179	0.137297204597672	-0.441170453420957	0.659089601741992	NA
LOC105379177	0	NA	NA	NA	NA	NA
LOC101060024	0.0759137040634452	0.00841736424037629	0.104765301205029	0.050748764183908	0.959525718483863	NA
C5orf66	0	NA	NA	NA	NA	NA
FBXL21	0.63776136382484	0.124023832003166	0.133364498049931	0.833001581321743	0.40484383744563	NA
